nombre_planning;codigo_siddex;variante;notas
A4R-2000-820;I91.115.000;base;escandallo verificado (246 filas, 127 códigos comprados)
A4R;I91.115.000;base;cualquier A4R sin L ni E se compra igual que la base (alto/ancho solo cambian hierro, láser y torno)
A4R L;;L;ruedas lisas. PENDIENTE: código del escandallo A4R con ruedas lisas (Fernandillo)
A4R E;;E;dirección eléctrica. PENDIENTE: código del escandallo A4R-E (Fernandillo)
A4R LE;;LE;ruedas lisas + dirección eléctrica. PENDIENTE: código (Fernandillo)
FUMIMATIC RUEDAS AGRÍCOLAS;I91.640.000;base;escandallo verificado (743 filas, 400 códigos)
